timestamp,day,id,num_touches,total_apps,books_perc,bundled_perc,bus_perc,comics_perc,comm_perc,ed_perc,ent_perc,fin_per,health_per,lib_per,life_perc,media_perc,med_perc,music_perc,news_perc,pers_perc,photo_perc,prod_perc,shop_perc,soc_perc,sports_perc,tools_perc,trans_perc,travel_perc,weather_perc,mean_apps,wifi_mean,sms_perc,call_perc,missed_perc,outgoing_perc,incoming_perc,freq_sms,freq_calls,freq_outgoing,freq_incoming,freq_missed,min_batt_level,total_pluggedin_time,charger_perc,usb_perc,freq_plugged,freq_unplugged,lgt_mean,lgt_std,wifi_max,wifi_min,wifi_std,num_screen_changes,normPower_mean,normPower_max,normPower_min,normPower_var,dominantFreq_mean,dominantFreq_max,dominantFreq_min,dominantFreq_var,normAmp_mean,normAmp_var,times_idle,times_ringing,times_offhook,perc_idle,perc_ringing,perc_offhook,people_communication_num,still_perc,tilting_perc,on_foot_perc,in_vehicle_perc,biking_perc,unknown_perc,w_still_perc,w_tilting_perc,w_on_foot_perc,w_in_vehicle_perc,w_biking_perc,w_unknown_perc,books_total,bundled_total,bus_total,comics_total,comm_total,ed_total,ent_total,fin_total,health_total,lib_total,life_total,media_total,med_total,music_total,news_total,pers_total,photo_total,prod_total,shop_total,soc_total,sports_total,tools_total,trans_total,travel_total,weather_total,maxApps,minApps,total_still_time,max_still_time,min_still_time,total_tilting_time,max_tilting_time,min_tilting_time,total_on_foot_time,max_on_foot_time,min_on_foot_time,total_in_vehicle_time,max_in_vehicle_time,min_in_vehicle_time,total_biking_time,max_biking_time,min_biking_time,total_unknown_time,max_unknown_time,min_unknown_time,min_time_apps,max_time_apps,mean_time_apps,label
1450186410,1,CB832WW,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10.59816613,0.608247423,0.391752577,0.092783505,0.453608247,0.453608247,59,38,44,44,9,44,3604,1,0,1,1,231.3594549,699.9704559,55,1,6.062228264,195,0.028477652,0.17027203,0,0.00201052,36.70690155,836.3462448,0,18275.12712,0.089625314,0.008594471,1259,41,97,0.901216893,0.029348604,0.069434503,24,0.60496614,0.175319789,0.015048909,0.141459744,0,0.063205418,0.638770396,0.207066937,0.00880701,0.109212257,0,0.036143401,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,39194,8182,0,1667,123,0,106,106,0,1273,261,0,0,0,0,884,132,0,-1,0,0,off
1450280401,2,CB832WW,102,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9.688094332,0.88372093,0.11627907,0.023255814,0.441860465,0.534883721,38,5,19,23,1,30,37598,0,0,42,42,71.27843137,85.30975236,53,1,5.424057724,148,0.031740096,0.192163547,0,0.002233679,29.61051539,885.1324081,0,12951.37572,0.096681908,0.009552991,1439,10,18,0.980913429,0.006816633,0.012269939,15,0.540041068,0.126283368,0.01026694,0.26386037,0.001540041,0.058008214,0.591984814,0.153609831,0.006275524,0.213592597,0.000680629,0.033856606,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,65866,37347,0,1507,115,0,134,73,0,4737,609,0,0,0,0,1335,172,0,-1,0,0,off
1450359170,3,CB832WW,609,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7.504150284,0.807692308,0.192307692,0.038461538,0.442307692,0.519230769,42,10,23,27,2,21,22996,1,0,76,76,103.1549816,118.6167274,72,0,5.02619658,303,0.034991294,0.1989577,0,0.002855241,29.6719331,3551.128006,0,49081.22029,0.105729439,0.010386513,1439,5,38,0.970985155,0.003373819,0.025641026,12,0.419963201,0.075436983,0.010119595,0.448022079,0.000459982,0.04599816,0.467978127,0.094999768,0.00779114,0.401356643,0.000214329,0.027659994,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,59414,25352,0,588,106,0,91,37,0,11079,2310,0,0,0,0,1405,244,0,-1,0,0,off
1450457940,4,CB832WW,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6.632642212,0.368421053,0.631578947,0,0.526315789,0.473684211,7,12,10,9,0,12,32629,1,0,12,12,78.69955157,211.5652098,51,0,4.772170107,150,0.025218235,0.194291989,0.004524997,0.0020186,18.51224126,740.5403137,0,5753.524291,0.080729491,0.008470275,1449,18,52,0.953917051,0.011849901,0.034233048,12,0.529745042,0.087346553,0.011331445,0.299811143,0.000472144,0.071293673,0.585880915,0.110829544,0.007638252,0.253835601,0.000233641,0.041582047,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,62115,26161,0,1610,127,0,133,43,0,5972,706,0,0,0,0,2534,301,0,-1,0,0,off
1450569448,5,CB832WW,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10.25754986,0.592592593,0.407407407,0.074074074,0.555555556,0.37037037,16,11,15,10,2,27,9407,1,0,7,7,268.8594595,832.9482621,52,0,5.931017865,91,0.025486899,0.168383305,0,0.001522932,14.2223393,391.4669037,0,2060.147752,0.084495095,0.006946212,1416,2,22,0.983333333,0.001388889,0.015277778,8,0.570069753,0.102726696,0.013950539,0.268864933,0.002536462,0.041851617,0.62797759,0.124844907,0.008153451,0.213669747,0.000986429,0.024367876,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,68400,32555,0,1074,115,0,147,54,0,5187,514,0,0,0,0,617,69,0,-1,0,0,off
1450618458,6,CB832WW,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9.143410853,0.739130435,0.260869565,0,0.565217391,0.434782609,17,6,13,10,0,6,12470,1,0,13,14,631.3387622,1901.676218,25,1,3.818403923,103,0.017121612,0.178273301,0,0.001114611,4.949067208,124.2364883,0,356.4709626,0.059509411,0.005114107,1476,2,24,0.982689747,0.001331558,0.015978695,9,0.674329502,0.092720307,0.010727969,0.182375479,0,0.039846743,0.731669879,0.107981723,0.006942957,0.132728279,0,0.020677161,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,63330,39373,0,765,107,0,49,31,0,5008,1558,0,0,0,0,395,63,0,-1,0,0,off
1450733381,7,CB832WW,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9,0.458333333,0.541666667,0,0.541666667,0.458333333,11,13,13,11,0,19,44629,1,0,7,7,409.1567657,1069.046548,65,1,6.907050404,114,0.018089578,0.171867475,0,0.001307548,5.985731585,205.995369,0,589.9516139,0.058940983,0.006453383,1452,16,52,0.955263158,0.010526316,0.034210526,14,0.582631579,0.084736842,0.006315789,0.233157895,0.000526316,0.092631579,0.653801902,0.102909593,0.003611424,0.184361577,0.000223717,0.055091788,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,67679,28860,0,739,107,0,34,17,0,4028,574,0,0,0,0,3153,564,0,-1,0,0,off
1450792847,8,CB832WW,1274,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9.925037481,0.82,0.18,0,0.54,0.46,41,9,27,23,0,42,41160,1,0,46,46,70.8606357,82.94280376,57,1,6.667169732,254,0.018770633,0.18247461,0,0.001373774,7.616529465,555.3211212,0,1485.756022,0.062868781,0.006293779,1456,4,35,0.973913043,0.002675585,0.023411371,16,0.612833061,0.089722675,0.016856987,0.21805329,0.001087548,0.061446438,0.66637047,0.108605505,0.009353238,0.179600595,0.000506826,0.035563366,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,68809,21314,0,636,110,0,85,47,0,3666,852,0,9,9,9,1727,310,0,-1,0,0,off
1450891524,9,CB832WW,2103,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7.741353383,0.739130435,0.260869565,0.02173913,0.326086957,0.652173913,34,12,15,30,1,7,369,1,0,1,1,77.21071753,76.08593255,49,1,3.608993108,103,0.020140128,0.187292413,0,0.001675363,9.100372373,328.801918,0,1094.581722,0.067552994,0.006746356,1337,12,47,0.95773639,0.008595989,0.033667622,9,0.620667927,0.078764965,0.030245747,0.230623819,0,0.039697543,0.670423846,0.093804407,0.020209221,0.193372156,0,0.02219037,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,68646,43437,0,818,117,0,306,110,0,4825,939,0,0,0,0,690,196,0,-1,0,0,off
1450975165,10,CB832WW,77,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6.537019681,0.705882353,0.294117647,0.029411765,0.470588235,0.5,24,10,16,17,1,4,12986,1,0,50,50,219.2607261,709.9695815,26,0,4.124047443,299,0.045646444,0.186518775,0,0.003569523,26.50294304,265.0434494,0,1993.4896,0.122360038,0.014729104,1014,13,47,0.944134078,0.012104283,0.043761639,8,0.39266386,0.094407697,0.028262177,0.404690319,0.001202646,0.078773301,0.428857096,0.127621525,0.021524955,0.373248252,0.000495854,0.048252317,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,61130,50849,0,770,115,0,239,64,0,8365,1117,0,0,0,0,2112,238,0,-1,0,0,off
