timestamp,day,id,num_touches,total_apps,books_perc,bundled_perc,bus_perc,comics_perc,comm_perc,ed_perc,ent_perc,fin_per,health_per,lib_per,life_perc,media_perc,med_perc,music_perc,news_perc,pers_perc,photo_perc,prod_perc,shop_perc,soc_perc,sports_perc,tools_perc,trans_perc,travel_perc,weather_perc,mean_apps,wifi_mean,sms_perc,call_perc,missed_perc,outgoing_perc,incoming_perc,freq_sms,freq_calls,freq_outgoing,freq_incoming,freq_missed,min_batt_level,total_pluggedin_time,charger_perc,usb_perc,freq_plugged,freq_unplugged,lgt_mean,lgt_std,wifi_max,wifi_min,wifi_std,num_screen_changes,normPower_mean,normPower_max,normPower_min,normPower_var,dominantFreq_mean,dominantFreq_max,dominantFreq_min,dominantFreq_var,normAmp_mean,normAmp_var,times_idle,times_ringing,times_offhook,perc_idle,perc_ringing,perc_offhook,people_communication_num,still_perc,tilting_perc,on_foot_perc,in_vehicle_perc,biking_perc,unknown_perc,w_still_perc,w_tilting_perc,w_on_foot_perc,w_in_vehicle_perc,w_biking_perc,w_unknown_perc,books_total,bundled_total,bus_total,comics_total,comm_total,ed_total,ent_total,fin_total,health_total,lib_total,life_total,media_total,med_total,music_total,news_total,pers_total,photo_total,prod_total,shop_total,soc_total,sports_total,tools_total,trans_total,travel_total,weather_total,maxApps,minApps,total_still_time,max_still_time,min_still_time,total_tilting_time,max_tilting_time,min_tilting_time,total_on_foot_time,max_on_foot_time,min_on_foot_time,total_in_vehicle_time,max_in_vehicle_time,min_in_vehicle_time,total_biking_time,max_biking_time,min_biking_time,total_unknown_time,max_unknown_time,min_unknown_time,min_time_apps,max_time_apps,mean_time_apps,label
1450130264,1,HI713WB,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9.910179641,0.459459459,0.540540541,0,0.702702703,0.297297297,17,20,26,11,0,69,0,0,0,0,0,-1,-1,16,5,2.247623755,95,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,660,8,45,0.925666199,0.011220196,0.063113604,12,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,off
1450187671,2,HI713WB,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8.884140551,0.527777778,0.472222222,0.055555556,0.5,0.444444444,19,17,18,16,2,51,52410,1,0,2,2,-1,-1,21,2,2.220483325,414,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2006,34,194,0.897940913,0.015219338,0.086839749,10,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,off
1450187671,3,HI713WB,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,off
1450278722,4,HI713WB,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9.410540915,0.895833333,0.104166667,0,0.520833333,0.479166667,43,5,25,23,0,17,48085,1,0,5,5,47.56935311,62.79733287,27,5,2.554938621,254,0.00069395,0.00638365,7.92E-07,1.85E-06,175.3565511,1324.628448,0,52411.48611,0.011257094,6.56E-05,1001,4,25,0.97184466,0.003883495,0.024271845,8,0.72361809,0.095477387,0.040201005,0.030150754,0,0.110552764,0.762022355,0.123472836,0.031063166,0.018195997,0,0.065245646,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4261,1998,0,915,541,0,28,28,0,51,51,51,0,0,0,91,41,0,-1,0,0,off
1450278722,5,HI713WB,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,off
1450319749,6,HI713WB,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9.389247312,0.630434783,0.369565217,0.02173913,0.543478261,0.434782609,29,17,25,20,1,65,57927,1,0,4,4,39.64498771,55.44055873,49,2,2.662582721,0,0.001283616,0.04636883,3.90E-07,1.44E-05,179.3312073,1974.241447,0,78307.60467,0.012608933,0.000317553,0,0,0,0,0,0,13,0.607186358,0.059683313,0.021924482,0.099878197,0.00182704,0.209500609,0.647791504,0.082924353,0.018234896,0.103418514,0.001057709,0.146573024,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21131,7730,0,3752,1440,0,180,86,0,1260,245,0,10,10,0,2420,195,0,-1,0,0,off
1450359398,7,HI713WB,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,-1,-1,-1,-1,-1,368,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1284,21,204,0.850894632,0.013916501,0.135188867,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,off
1450451629,8,HI713WB,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,14.3940678,0.24,0.76,0.04,0.6,0.36,6,19,15,9,1,51,41478,1,0,3,4,44.87273883,78.19880099,117,5,12.79058043,260,0.003647623,0.065458537,3.42E-07,0.000116541,226.4127919,2378.577805,-2585.292236,143504.6405,0.020642751,0.001448427,1356,10,116,0.914979757,0.006747638,0.078272605,9,0.550149701,0.071482036,0.038922156,0.158682635,0.004116766,0.176646707,0.596637716,0.092883473,0.031424764,0.162818406,0.002373148,0.113862494,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,18380,5118,0,2012,824,0,600,104,0,3784,478,0,65,55,0,3101,175,0,-1,0,0,off
1450537055,9,HI713WB,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10.13163972,0.428571429,0.571428571,0,0.481481481,0.518518519,12,16,13,14,0,85,50546,1,0,8,8,15.88197416,54.06733514,16,3,2.24970952,404,0.00234627,0.029964655,3.80E-07,3.22E-05,109.12842,1799.957085,0,44304.42864,0.016136795,0.000896063,1406,16,74,0.939839572,0.010695187,0.049465241,9,0.54084507,0.064788732,0.03943662,0.113802817,0.001126761,0.24,0.595086469,0.084665278,0.03681099,0.111787615,0.000427007,0.17122264,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,15595,3582,0,3809,1038,0,523,131,0,1716,313,0,0,0,0,3049,282,0,-1,0,0,off
1450622762,10,HI713WB,697,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,11.31827957,0.828571429,0.171428571,0,0.4,0.6,29,6,14,21,0,62,57267,1,0,2,3,19.82299025,44.84076491,90,3,6.08309744,114,0.002450695,0.062855437,0,7.03E-05,94.55651572,1999.980354,0,63116.5044,0.012918888,0.00112738,1362,10,72,0.943213296,0.006925208,0.049861496,11,0.654384672,0.055268976,0.044215181,0.114959469,0,0.131171702,0.69214193,0.069067769,0.039267329,0.111346453,0,0.088176519,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,51446,41241,0,1650,896,0,416,141,0,1315,631,0,0,0,0,1107,218,0,-1,0,0,off
